Number,"Time (seconds)","Distance (meters)","Pace (seconds)",Watts,Cal/Hr,"Stroke Rate","Heart Rate"
1,0.7,2.2,175.0,65,524,,
2,2.0,6.5,153.1,98,635,46,
3,3.3,10.8,150.4,103,654,47,
4,4.6,15.5,138.5,132,753,47,
5,5.9,20.4,130.8,156,838,48,
6,7.2,25.5,126.7,172,892,47,
7,8.5,30.7,125.5,177,909,47,
8,9.6,35.0,125.5,177,909,47,
9,10.9,40.3,124.5,181,924,47,
10,12.2,45.7,123.3,187,942,47,
11,13.5,51.1,120.5,200,988,47,
12,14.8,56.6,118.8,209,1018,47,
13,16.0,62.1,116.9,219,1054,48,
14,17.3,67.6,115.9,225,1073,47,
15,18.6,73.2,115.0,230,1092,48,
16,19.9,78.8,114.4,234,1104,48,
17,21.1,84.4,114.6,233,1100,46,
18,22.4,90.1,114.2,235,1108,47,
19,23.7,95.6,114.8,231,1096,46,
20,25.0,101.1,115.6,227,1079,48,
21,26.2,106.6,116.3,222,1065,47,
22,27.6,112.4,116.9,219,1054,46,
23,28.9,117.9,116.0,224,1071,49,
24,29.9,122.4,116.0,224,1071,49,
25,31.2,128.0,116.4,222,1063,47,
26,32.5,133.5,115.2,229,1087,48,
27,33.8,139.2,115.5,227,1081,47,
28,35.0,144.7,115.8,225,1075,47,
29,36.3,150.3,116.2,223,1067,46,
30,37.6,155.9,116.0,224,1071,48,
31,38.9,161.5,116.3,222,1065,46,
32,40.5,168.1,116.3,222,1065,45,
33,41.7,173.5,116.1,224,1069,46,
34,43.0,179.2,116.5,221,1061,46,
35,44.3,184.8,116.6,221,1059,45,
36,45.6,190.4,116.8,220,1055,46,
37,47.0,196.1,116.7,220,1057,46,
38,48.3,201.6,117.7,215,1038,46,
39,49.6,207.3,118.3,211,1027,45,
40,50.9,212.6,118.2,212,1029,46,
41,52.1,217.9,118.2,212,1029,46,
42,53.4,223.3,118.7,209,1020,45,
43,54.7,228.7,119.0,208,1014,45,
44,56.0,234.2,119.5,205,1005,46,
45,57.3,239.7,119.9,203,998,47,
46,58.6,245.0,120.2,202,993,47,
47,59.9,250.3,120.6,200,986,46,
48,61.4,256.8,120.2,202,993,46,
49,62.7,262.2,119.8,204,1000,43,
50,63.9,267.5,119.8,204,1000,43,
51,65.5,274.0,118.5,210,1023,42,
52,67.0,280.5,119.1,207,1013,42,
53,68.3,285.9,119.1,207,1013,42,
54,69.8,292.2,120.8,199,983,44,
55,71.1,297.5,121.7,194,968,43,
56,72.4,302.8,121.7,194,968,43,
57,73.9,309.0,123.4,186,941,44,
58,75.2,314.2,123.4,186,941,44,
59,76.8,320.5,123.3,187,942,43,
60,78.1,325.7,124.6,181,922,44,
61,79.4,331.0,124.6,181,922,44,
62,80.9,337.2,124.6,181,922,42,
63,82.2,342.3,124.6,181,922,42,
64,83.5,347.6,124.5,181,924,44,
65,85.0,353.9,124.0,184,931,43,
66,86.3,359.1,124.0,184,931,43,
67,87.6,364.4,123.8,184,934,44,
68,88.9,369.6,123.6,185,937,45,
69,90.5,375.9,124.5,181,924,45,
70,91.8,381.1,124.5,181,924,46,
71,93.1,386.2,126.2,174,899,45,
72,94.3,391.2,128.5,165,867,47,
73,95.6,396.2,129.9,160,849,45,
74,97.0,401.2,129.9,160,849,45,
75,98.3,406.2,131.8,153,826,44,
76,99.8,412.1,131.8,153,826,44,
77,101.1,417.0,130.4,158,843,45,
78,102.4,422.0,130.4,158,843,45,
79,103.9,428.0,128.3,166,870,44,
80,105.2,432.9,127.4,169,882,43,
81,106.5,438.0,127.4,169,882,43,
82,108.0,444.0,127.4,169,882,44,
83,109.3,449.1,127.3,170,883,44,
84,110.5,454.1,127.3,170,883,44,
85,112.1,459.9,131.9,153,824,43,
86,113.4,464.8,133.6,147,805,46,
87,114.7,469.6,132.7,150,815,44,
88,115.9,474.5,132.7,150,815,44,
89,117.5,480.2,135.0,142,789,44,
90,118.8,484.9,135.7,140,782,43,
91,120.0,489.5,135.7,140,782,43,
92,121.6,495.0,140.1,127,738,44,
93,122.8,499.5,140.1,127,738,44,
94,124.4,505.0,138.9,131,749,44,
95,125.6,509.6,138.5,132,753,45,
96,126.9,514.3,139.8,128,740,45,
97,128.2,519.0,139.8,128,740,45,
98,129.8,524.5,141.3,124,726,43,
99,131.1,529.0,141.3,124,726,43,
100,132.3,533.6,141.8,123,722,42,
101,133.9,539.2,137.9,133,759,44,
102,135.2,544.0,138.0,133,758,46,
103,136.5,548.8,137.8,134,760,46,
104,137.8,553.4,136.5,138,773,45,
105,139.0,558.2,133.9,146,801,46,
106,140.3,563.0,133.9,146,801,46,
107,141.7,568.1,132.9,149,813,45,
108,143.0,573.0,131.9,153,824,45,
109,144.3,578.1,130.7,157,839,45,
110,145.8,584.1,130.1,159,847,46,
111,147.1,588.9,132.1,152,822,45,
112,148.4,593.7,135.4,141,785,44,
113,149.7,598.5,135.4,141,785,44,
114,151.0,603.3,135.5,141,784,43,
115,152.5,608.9,137.4,135,764,44,
116,153.8,613.7,137.4,135,764,44,
117,155.1,618.5,134.6,144,793,44,
118,156.6,624.4,133.8,146,802,43,
119,157.9,629.3,131.5,154,829,44,
120,159.2,634.2,131.5,154,829,44,
121,160.7,640.3,129.2,162,858,44,
122,162.1,645.4,128.9,163,862,46,
123,163.3,650.4,128.5,165,867,44,
124,164.6,655.4,128.5,165,867,44,
125,166.1,661.4,127.4,169,882,45,
126,167.5,666.5,127.8,168,877,44,
127,168.7,671.6,127.8,168,877,44,
128,170.0,676.7,127.3,170,883,44,
129,171.5,682.8,125.2,178,913,46,
130,172.9,688.0,126.4,173,896,45,
131,174.1,693.0,127.6,168,879,45,
132,175.4,698.2,127.0,171,888,45,
133,176.7,703.2,127.0,171,888,45,
134,178.3,709.5,126.4,173,896,44,
135,179.6,714.6,126.4,173,896,43,
136,180.9,719.7,126.8,172,890,45,
137,182.2,724.8,126.8,172,890,45,
138,183.7,730.6,130.7,157,839,44,
139,185.0,735.5,131.7,153,827,44,
140,186.5,741.3,132.1,152,822,43,
141,187.8,746.1,133.3,148,808,43,
142,189.1,751.0,133.3,148,808,43,
143,190.6,757.0,131.7,153,827,42,
144,191.9,761.8,131.7,153,827,42,
145,193.4,767.7,129.9,160,849,44,
146,194.7,772.6,130.4,158,843,43,
147,196.2,778.6,130.6,157,840,43,
148,197.5,783.4,130.5,157,841,43,
149,198.8,788.4,130.5,157,841,43,
150,200.4,794.3,131.6,154,828,43,
151,201.7,799.2,132.9,149,813,44,
152,203.2,805.0,133.7,146,804,42,
153,204.5,809.8,132.1,152,822,44,
154,205.8,814.8,132.1,152,822,44,
155,207.3,820.9,128.3,166,870,43,
156,208.6,825.9,128.3,166,870,43,
157,210.1,832.0,126.2,174,899,43,
158,211.6,837.9,128.0,167,874,41,
159,212.9,843.1,128.0,167,874,41,
160,214.5,849.4,125.0,179,916,42,
161,215.7,854.4,125.0,179,916,42,
162,217.3,860.7,123.4,186,941,44,
163,218.6,865.9,123.5,186,939,46,
164,219.8,871.0,123.5,186,939,46,
165,221.1,876.1,125.0,179,916,44,
166,222.7,882.2,127.8,168,877,44,
167,224.0,887.3,127.2,170,885,45,
168,225.3,892.4,127.2,170,885,45,
169,226.8,898.4,127.6,168,879,44,
170,228.0,903.4,127.6,168,879,44,
171,229.6,909.5,128.4,165,869,41,
172,231.1,915.5,128.9,163,862,40,
173,232.4,920.5,128.9,163,862,40,
174,234.0,926.6,130.0,159,848,43,
175,235.3,931.7,130.0,159,848,43,
176,236.9,937.7,129.7,160,852,42,
177,238.4,943.7,127.9,167,875,41,
178,240.0,950.0,125.2,178,913,39,
179,241.3,955.2,125.2,178,913,39,
180,242.8,961.6,124.0,184,931,41,
181,244.4,967.7,125.6,177,907,40,
182,245.9,973.8,126.0,175,902,41,
183,247.2,979.0,126.0,175,902,41,
184,248.8,985.2,128.5,165,867,41,
185,250.1,990.2,128.5,165,867,41,
186,251.7,996.3,129.2,162,858,41,
