Number,"Time (seconds)","Distance (meters)","Pace (seconds)",Watts,Cal/Hr,"Stroke Rate","Heart Rate"
1,0.0,0.0,0.0,,,,
2,3.0,12.2,119.7,204,1002,29,
3,5.0,20.6,119.7,204,1002,29,
4,7.0,29.3,118.3,211,1027,27,
5,10.0,42.4,117.1,218,1050,25,
6,12.0,50.8,117.1,218,1050,25,
7,14.0,59.5,116.9,219,1054,25,
8,17.0,72.4,117.5,216,1042,25,
9,19.0,80.7,117.5,216,1042,25,
10,21.0,89.5,117.7,215,1038,25,
11,24.0,102.2,118.0,213,1033,25,
12,26.0,110.5,118.0,213,1033,25,
13,29.0,123.4,119.0,208,1014,25,
14,31.0,131.6,119.0,208,1014,25,
15,33.0,140.1,119.7,204,1002,25,
16,36.0,153.1,118.2,212,1029,25,
17,38.0,161.6,116.8,220,1055,25,
18,41.0,174.4,118.8,209,1018,25,
19,43.0,182.6,118.8,209,1018,25,
20,45.0,191.0,120.0,203,997,26,
21,48.0,203.9,117.8,214,1036,25,
22,50.0,212.3,117.8,214,1036,25,
23,52.0,220.8,118.0,213,1033,26,
24,55.0,233.8,118.6,210,1022,25,
25,57.0,242.0,118.6,210,1022,25,
26,59.0,250.6,118.8,209,1018,26,
27,62.0,263.5,118.3,211,1027,25,
28,64.0,271.8,118.3,211,1027,25,
29,66.0,280.4,118.5,210,1023,26,
30,69.0,293.1,118.4,211,1025,26,
31,71.0,301.4,118.9,208,1016,25,
32,73.0,310.1,118.5,210,1023,25,
33,76.0,322.8,117.8,214,1036,25,
34,78.0,331.1,118.3,211,1027,25,
35,81.0,344.1,117.8,214,1036,25,
36,83.0,352.5,117.8,214,1036,25,
37,85.0,361.1,117.7,215,1038,25,
38,88.0,373.8,118.2,212,1029,25,
39,90.0,382.1,117.8,214,1036,25,
40,92.0,390.6,119.7,204,1002,26,
41,95.0,403.1,119.7,204,1002,26,
42,97.0,411.4,120.2,202,993,26,
43,99.0,419.7,120.6,200,986,26,
44,102.0,432.4,120.0,203,997,26,
45,104.0,440.6,120.0,203,997,26,
46,106.0,448.8,120.8,199,983,26,
47,109.0,461.4,121.3,196,974,26,
48,111.0,469.4,121.3,196,974,26,
49,113.0,477.8,121.4,196,973,26,
50,116.0,490.3,121.8,194,966,26,
51,118.0,498.4,121.8,194,966,26,
52,120.0,506.6,121.6,195,969,26,
53,123.0,519.2,121.9,193,964,26,
54,125.0,527.2,121.9,193,964,26,
55,127.0,535.4,122.2,192,960,26,
56,130.0,548.1,121.0,198,979,26,
57,132.0,556.3,121.0,198,979,26,
58,134.0,564.6,119.6,205,1004,26,
59,136.0,573.1,120.1,202,995,26,
60,139.0,585.6,119.4,206,1007,25,
61,141.0,594.0,120.2,202,993,26,
62,144.0,606.9,118.1,212,1031,26,
63,146.0,615.3,118.1,212,1031,26,
64,148.0,623.8,117.6,215,1040,25,
65,151.0,636.6,118.7,209,1020,25,
66,153.0,644.9,118.7,209,1020,25,
67,155.0,653.4,118.8,209,1018,26,
68,158.0,666.3,118.7,209,1020,25,
69,160.0,674.7,117.8,214,1036,25,
70,162.0,683.3,116.9,219,1054,25,
71,165.0,695.9,118.6,210,1022,25,
72,167.0,704.3,119.0,208,1014,25,
73,170.0,717.1,118.6,210,1022,25,
74,172.0,725.3,119.4,206,1007,25,
75,174.0,733.7,120.2,202,993,25,
76,177.0,746.1,120.8,199,983,25,
77,179.0,754.4,121.2,197,976,26,
78,181.0,762.8,120.4,201,990,26,
79,184.0,775.2,120.8,199,983,25,
80,186.0,783.3,121.0,198,979,26,
81,188.0,791.6,122.9,189,948,26,
82,191.0,804.0,122.6,190,953,26,
83,193.0,812.1,121.8,194,966,26,
84,195.0,820.5,121.1,197,978,26,
85,198.0,833.0,120.8,199,983,26,
86,200.0,841.2,121.1,197,978,26,
87,202.0,849.8,119.5,205,1005,26,
88,205.0,862.3,119.4,206,1007,25,
89,207.0,870.6,120.1,202,995,25,
90,209.0,879.0,120.2,202,993,26,
91,212.0,891.4,120.6,200,986,26,
92,214.0,899.7,120.6,200,986,25,
93,216.0,908.3,120.2,202,993,25,
94,219.0,920.7,119.3,206,1009,26,
95,221.0,929.0,119.5,205,1005,25,
96,224.0,941.8,120.5,200,988,26,
97,226.0,949.9,120.5,200,988,26,
98,228.0,958.2,120.3,201,991,26,
99,231.0,970.8,121.2,197,976,25,
100,233.0,978.9,121.2,197,976,25,
101,235.0,987.1,121.6,195,969,26,
102,238.0,999.7,121.9,193,964,26,
103,240.0,1007.7,121.9,193,964,26,
104,242.0,1016.3,120.7,199,985,25,
105,245.0,1029.2,117.9,214,1034,26,
106,247.0,1037.5,117.9,214,1034,26,
107,249.0,1046.0,118.0,213,1033,25,
108,252.0,1058.7,118.8,209,1018,25,
109,254.0,1067.0,119.1,207,1013,25,
110,257.0,1079.9,117.9,214,1034,25,
111,259.0,1088.2,117.9,214,1034,25,
112,261.0,1096.6,118.9,208,1016,25,
113,264.0,1109.4,119.2,207,1011,26,
114,266.0,1117.6,119.2,207,1011,26,
115,268.0,1126.1,118.7,209,1020,26,
116,271.0,1138.7,120.1,202,995,25,
117,273.0,1147.0,120.1,202,995,25,
118,275.0,1155.4,119.1,207,1013,25,
119,278.0,1168.1,120.0,203,997,26,
120,280.0,1176.3,119.6,205,1004,25,
121,282.0,1184.8,119.7,204,1002,26,
122,285.0,1197.2,120.4,201,990,25,
123,287.0,1205.3,121.1,197,978,25,
124,289.0,1213.7,121.9,193,964,26,
125,292.0,1226.1,121.1,197,978,26,
126,294.0,1234.4,120.7,199,985,26,
127,296.0,1242.8,120.8,199,983,25,
128,299.0,1255.1,121.8,194,966,26,
129,301.0,1263.2,121.4,196,973,25,
130,303.0,1271.6,122.0,193,963,26,
131,306.0,1284.2,120.8,199,983,26,
132,308.0,1292.6,120.0,203,997,26,
133,311.0,1305.7,116.0,224,1071,24,
134,313.0,1314.1,116.0,224,1071,24,
135,316.0,1327.0,118.6,210,1022,24,
136,318.0,1335.2,118.6,210,1022,24,
137,320.0,1343.7,119.4,206,1007,24,
138,323.0,1356.2,119.6,205,1004,25,
139,325.0,1364.5,120.2,202,993,25,
140,327.0,1373.0,120.0,203,997,25,
141,330.0,1385.4,120.4,201,990,26,
142,332.0,1393.8,120.7,199,985,26,
143,335.0,1406.6,119.2,207,1011,25,
144,337.0,1414.7,119.2,207,1011,25,
145,339.0,1423.1,119.7,204,1002,25,
146,342.0,1435.9,119.7,204,1002,26,
147,344.0,1444.1,119.7,204,1002,26,
148,346.0,1452.5,119.2,207,1011,26,
149,349.0,1465.2,119.9,203,998,26,
150,351.0,1473.5,119.9,203,998,26,
151,353.0,1482.0,119.2,207,1011,26,
152,356.0,1494.8,119.3,206,1009,26,
153,358.0,1503.0,119.3,206,1009,26,
154,360.0,1511.2,120.1,202,995,26,
155,363.0,1524.1,119.0,208,1014,25,
156,365.0,1532.3,119.0,208,1014,25,
157,367.0,1540.6,119.9,203,998,26,
158,370.0,1553.3,120.6,200,986,25,
159,372.0,1561.4,120.6,200,986,25,
160,374.0,1570.0,119.9,203,998,26,
161,377.0,1582.7,118.2,212,1029,25,
162,379.0,1591.0,119.1,207,1013,25,
163,381.1,1600.0,119.3,206,1009,26,
164,384.0,1612.0,120.3,201,991,26,
165,386.0,1620.4,119.6,205,1004,25,
166,389.0,1633.4,117.4,216,1044,24,
167,391.0,1641.8,117.4,216,1044,24,
168,393.0,1650.5,116.7,220,1057,25,
169,396.0,1663.1,117.8,214,1036,25,
170,398.0,1671.6,118.6,210,1022,25,
171,401.0,1684.5,118.3,211,1027,25,
172,403.0,1692.8,118.3,211,1027,25,
173,405.0,1701.4,118.5,210,1023,25,
174,408.0,1714.1,119.6,205,1004,26,
175,410.0,1722.3,119.6,205,1004,26,
176,412.0,1730.7,119.9,203,998,26,
177,415.0,1743.4,120.1,202,995,26,
178,417.0,1751.6,120.1,202,995,26,
179,419.0,1759.9,120.2,202,993,26,
180,421.0,1768.4,120.4,201,990,26,
181,424.0,1780.8,120.1,202,995,26,
182,426.0,1789.1,120.1,202,995,26,
183,428.0,1797.5,120.8,199,983,26,
184,431.0,1810.1,119.8,204,1000,26,
185,433.0,1818.3,119.8,204,1000,26,
186,435.0,1826.8,119.8,204,1000,26,
187,438.0,1839.6,120.0,203,997,26,
188,440.0,1847.8,120.0,203,997,26,
189,442.0,1856.2,119.9,203,998,26,
190,444.0,1864.7,119.5,205,1005,26,
191,447.0,1877.3,119.1,207,1013,26,
192,449.0,1885.5,119.4,206,1007,26,
193,451.0,1894.1,119.9,203,998,26,
194,454.0,1906.7,119.8,204,1000,26,
195,456.0,1914.9,119.8,204,1000,26,
196,458.0,1923.3,120.1,202,995,26,
197,461.0,1936.1,119.9,203,998,26,
198,463.0,1944.3,119.9,203,998,26,
199,465.0,1952.6,119.9,203,998,26,
200,467.0,1961.1,120.3,201,991,26,
201,470.0,1973.6,119.4,206,1007,26,
202,472.0,1981.9,119.9,203,998,25,
203,475.0,1994.9,117.1,218,1050,25,
204,477.0,2003.4,117.1,218,1050,25,
205,479.0,2011.9,116.8,220,1055,26,
206,482.0,2024.8,118.6,210,1022,25,
207,484.0,2033.1,118.6,210,1022,25,
208,486.0,2041.7,118.2,212,1029,26,
209,489.0,2054.9,115.9,225,1073,26,
210,491.0,2063.3,115.9,225,1073,26,
211,493.0,2071.9,116.6,221,1059,25,
212,495.0,2080.6,117.5,216,1042,27,
213,498.0,2093.3,117.0,219,1052,26,
214,500.0,2101.9,117.0,219,1052,26,
215,502.0,2110.5,116.9,219,1054,26,
216,505.0,2123.1,119.4,206,1007,26,
217,507.0,2131.4,119.4,206,1007,26,
218,509.0,2140.0,118.9,208,1016,26,
219,512.0,2152.9,118.2,212,1029,26,
220,514.1,2161.3,118.2,212,1029,26,
221,516.0,2169.6,118.4,211,1025,27,
222,518.0,2178.1,118.9,208,1016,27,
223,521.0,2191.0,118.9,208,1016,26,
224,523.0,2199.3,118.9,208,1016,26,
225,525.0,2207.7,118.3,211,1027,26,
226,528.0,2220.6,117.8,214,1036,26,
227,530.0,2229.0,117.8,214,1036,26,
228,532.0,2237.4,118.4,211,1025,26,
229,535.0,2250.1,119.8,204,1000,26,
230,537.0,2258.3,119.8,204,1000,26,
231,539.0,2266.7,120.1,202,995,26,
232,541.0,2275.2,119.5,205,1005,26,
233,544.0,2287.9,118.9,208,1016,26,
234,546.0,2296.3,118.3,211,1027,26,
235,548.0,2304.7,118.9,208,1016,26,
236,551.0,2317.3,120.0,203,997,26,
237,553.0,2325.6,120.0,203,997,26,
238,555.0,2334.0,120.5,200,988,27,
239,557.0,2342.4,120.1,202,995,26,
240,560.0,2354.9,120.4,201,990,27,
241,562.0,2363.2,120.1,202,995,26,
242,564.0,2371.5,120.1,202,995,26,
