Number,"Time (seconds)","Distance (meters)","Pace (seconds)",Watts,Cal/Hr,"Stroke Rate","Heart Rate"
1,0.7,2.1,0.0,,,,
2,2.2,7.1,153.2,97,635,42,
3,3.5,11.2,156.9,91,611,47,
4,4.8,15.7,144.9,115,695,46,
5,6.1,20.6,136.6,137,772,48,
6,7.4,25.5,132.0,152,823,45,
7,8.7,30.5,129.7,160,852,46,
8,9.8,34.6,129.7,160,852,46,
9,11.1,39.8,127.3,170,883,47,
10,12.4,44.9,126.5,173,895,48,
11,13.6,50.0,126.1,175,900,47,
12,14.9,55.2,125.1,179,915,47,
13,16.4,61.3,125.2,178,913,46,
14,17.5,65.5,125.2,178,913,46,
15,18.8,70.6,124.6,181,922,47,
16,20.1,75.9,124.9,180,918,47,
17,21.4,81.3,124.0,184,931,48,
18,22.7,86.6,123.8,184,934,47,
19,24.0,91.9,124.1,183,930,47,
20,25.3,97.2,124.2,183,928,47,
21,26.6,102.3,123.7,185,936,46,
22,27.9,107.7,122.9,189,948,48,
23,29.2,112.9,124.3,182,927,46,
24,30.5,118.0,126.0,175,902,48,
25,31.5,122.0,126.0,175,902,48,
26,32.8,127.1,126.1,175,900,48,
27,34.1,132.2,126.4,173,896,47,
28,35.4,137.4,126.3,174,897,48,
29,36.7,142.6,125.4,177,910,48,
30,38.0,147.8,124.4,182,925,47,
31,39.2,153.0,124.1,183,930,46,
32,40.5,158.1,124.6,181,922,46,
33,41.8,163.4,124.5,181,924,47,
34,43.1,168.7,124.4,182,925,46,
35,44.4,174.1,123.4,186,941,47,
36,45.7,179.3,123.0,188,947,46,
37,47.0,184.6,123.6,185,937,47,
38,48.3,189.7,124.5,181,924,46,
39,49.6,194.9,124.5,181,924,46,
40,50.9,200.2,123.9,184,933,47,
41,52.2,205.5,123.2,187,944,47,
42,53.5,210.8,122.7,189,952,45,
43,54.8,216.2,123.5,186,939,45,
44,56.1,221.3,124.0,184,931,47,
45,57.4,226.5,124.5,181,924,46,
46,58.7,231.8,124.6,181,922,46,
