Number,"Time (seconds)","Distance (meters)","Pace (seconds)",Watts,Cal/Hr,"Stroke Rate","Heart Rate"
1,0.9,2.6,183.4,57,495,,
2,2.5,7.6,156.2,92,616,38,
3,4.0,12.7,151.8,100,644,41,
4,5.5,18.2,141.1,125,728,39,
5,6.8,23.0,141.1,125,728,39,
6,8.7,29.9,133.2,148,809,38,
7,10.2,35.6,132.4,151,818,40,
8,11.5,40.5,132.4,151,818,40,
9,13.0,46.5,131.6,154,828,39,
10,14.5,52.4,130.3,158,844,40,
11,16.1,58.4,130.9,156,837,39,
12,17.6,64.2,130.9,156,837,39,
13,19.2,70.3,128.6,165,866,41,
14,20.7,76.3,128.3,166,870,39,
15,22.3,82.4,129.2,162,858,39,
16,23.8,88.3,129.9,160,849,39,
17,25.4,94.3,129.4,162,855,39,
18,26.9,100.4,128.6,165,866,39,
19,28.4,106.3,128.3,166,870,39,
20,29.7,111.4,128.3,166,870,39,
21,31.3,117.5,127.5,169,881,40,
22,33.1,124.6,127.1,170,886,38,
23,34.4,129.8,127.1,170,886,38,
24,36.0,136.0,126.4,173,896,39,
25,37.8,143.2,127.1,170,886,37,
26,39.3,149.4,127.1,170,886,38,
27,40.9,155.5,127.3,170,883,38,
28,42.4,161.6,126.9,171,889,39,
29,44.0,167.9,126.5,173,895,38,
30,45.5,173.9,127.6,168,879,38,
31,47.1,179.8,127.6,168,879,38,
32,48.9,186.9,127.6,168,879,37,
33,50.4,192.9,128.4,165,869,37,
34,51.9,198.9,128.4,165,869,37,
35,53.5,204.9,128.2,166,871,37,
36,55.3,212.1,128.3,166,870,38,
37,56.8,217.9,128.3,166,870,38,
38,58.4,224.0,129.2,162,858,37,
39,59.9,230.1,128.5,165,867,38,
40,61.7,237.0,128.7,164,865,37,
41,63.2,242.9,128.7,164,865,37,
42,64.8,248.9,128.9,163,862,37,
43,66.6,255.9,129.4,162,855,38,
44,68.1,261.9,128.6,165,866,38,
45,69.6,267.8,129.1,163,859,38,
46,71.2,273.7,129.1,163,859,38,
47,72.9,280.6,130.8,156,838,38,
48,74.4,286.3,131.7,153,827,40,
49,76.0,292.1,131.7,153,827,38,
50,77.5,297.9,131.2,155,833,38,
51,79.0,303.9,130.6,157,840,38,
52,80.6,309.7,130.6,157,840,38,
53,82.1,315.7,130.6,157,840,39,
54,83.7,321.8,130.1,159,847,39,
55,85.3,327.8,130.1,159,847,39,
56,86.8,333.7,130.7,157,839,38,
57,88.6,340.5,132.4,151,818,37,
58,90.1,346.3,132.2,151,821,38,
59,91.7,352.1,132.5,150,817,38,
60,93.2,358.1,131.7,153,827,39,
61,94.8,363.9,131.5,154,829,38,
62,96.3,369.7,131.5,154,829,38,
63,98.1,376.5,132.1,152,822,38,
64,99.6,382.3,132.7,150,815,38,
65,101.2,388.2,133.8,146,802,37,
66,102.7,394.0,133.8,146,802,37,
67,104.5,400.7,135.1,142,788,37,
68,106.1,406.4,134.8,143,791,38,
69,107.6,412.1,134.0,145,800,38,
70,109.1,417.9,134.0,145,800,38,
71,110.9,424.7,132.3,151,820,37,
72,112.4,430.4,132.7,150,815,38,
73,114.0,436.3,131.7,153,827,38,
74,115.5,442.1,131.7,153,827,38,
75,117.3,449.0,132.2,151,821,36,
76,118.8,454.8,132.2,151,821,36,
77,120.6,461.6,132.5,150,817,37,
78,122.2,467.4,132.5,150,817,37,
79,123.7,473.1,132.5,150,817,37,
80,125.5,479.9,132.5,150,817,37,
81,127.0,485.7,132.4,151,818,38,
82,128.6,491.5,132.5,150,817,37,
83,130.1,497.2,132.5,150,817,37,
84,131.9,504.1,134.1,145,799,36,
85,133.5,509.9,134.1,145,799,36,
86,135.3,516.6,134.9,143,790,36,
87,136.8,522.3,134.9,143,790,36,
88,138.4,528.4,133.4,147,807,38,
89,140.0,534.2,133.4,147,807,38,
90,141.7,540.8,133.6,147,805,37,
91,143.6,547.6,135.4,141,785,36,
92,145.1,553.4,134.1,145,799,36,
93,146.7,559.3,134.1,145,799,36,
94,148.2,565.1,133.5,147,806,37,
95,150.0,572.0,131.8,153,826,38,
96,151.6,577.8,131.7,153,827,38,
97,153.1,583.8,131.2,155,833,37,
98,154.9,590.7,131.3,155,832,35,
99,156.5,596.4,131.3,155,832,35,
100,158.3,603.4,132.3,151,820,36,
101,159.8,609.1,133.5,147,806,37,
102,161.4,615.0,133.2,148,809,38,
103,163.2,621.8,132.8,149,814,35,
104,164.7,627.6,132.5,150,817,37,
105,166.3,633.5,132.5,150,817,37,
106,168.1,640.3,133.0,149,812,37,
107,169.6,646.1,133.0,149,812,38,
108,171.1,651.8,134.0,145,800,37,
109,172.6,657.5,134.0,145,800,37,
110,174.5,664.4,132.9,149,813,37,
111,176.0,670.2,132.8,149,814,37,
112,177.5,675.9,132.8,149,814,37,
113,179.3,682.7,133.8,146,802,36,
114,180.9,688.4,133.8,146,802,36,
115,182.7,695.3,133.3,148,808,36,
116,184.2,700.9,133.3,148,808,36,
117,186.0,707.7,133.5,147,806,36,
118,187.5,713.3,133.5,147,806,36,
119,189.3,720.1,133.6,147,805,36,
120,191.1,726.8,134.0,145,800,33,
121,192.6,732.5,134.0,145,800,33,
122,194.5,739.4,135.1,142,788,35,
123,196.0,745.1,135.1,142,788,35,
124,197.8,752.0,132.6,150,816,37,
125,199.3,757.8,132.4,151,818,37,
126,200.9,763.6,132.4,151,818,37,
127,202.4,769.5,132.6,150,816,37,
128,204.2,776.4,130.9,156,837,37,
129,205.7,782.2,130.9,156,837,37,
130,207.5,789.1,131.7,153,827,37,
131,209.1,794.9,131.8,153,826,37,
132,210.6,800.8,131.8,153,826,37,
133,212.4,807.5,135.4,141,785,36,
134,214.0,813.1,135.4,141,785,36,
135,215.8,819.7,135.3,141,786,37,
136,217.3,825.5,134.5,144,795,36,
137,218.9,831.3,134.5,144,795,36,
138,220.6,838.0,133.7,146,804,37,
139,222.2,843.7,133.5,147,806,37,
140,223.9,850.4,133.3,148,808,35,
141,225.5,856.2,133.3,148,808,35,
142,227.3,863.2,131.4,154,830,36,
143,228.8,868.8,131.4,154,830,36,
144,230.6,875.8,133.3,148,808,36,
145,232.2,881.8,133.3,148,808,36,
146,233.8,887.4,133.3,148,808,36,
147,235.6,894.4,133.4,147,807,37,
148,237.1,900.1,132.4,151,818,39,
149,238.7,906.0,133.3,148,808,37,
150,240.2,911.8,133.3,148,808,37,
151,241.8,917.8,132.1,152,822,37,
152,243.5,924.7,130.2,159,845,37,
153,245.1,930.4,131.6,154,828,37,
154,246.6,936.3,131.2,155,833,37,
155,248.1,942.1,131.2,155,833,37,
156,249.9,948.9,131.7,153,827,38,
157,251.5,954.8,132.7,150,815,37,
158,253.0,960.5,132.7,150,815,37,
159,254.5,966.3,133.3,148,808,38,
160,256.3,973.2,131.0,156,835,38,
161,257.8,979.0,131.0,156,835,38,
162,259.4,984.9,131.8,153,826,36,
163,261.2,991.9,132.1,152,822,37,
164,262.8,997.7,132.7,150,815,36,
165,264.4,1003.7,132.7,150,815,36,
