Number,"Time (seconds)","Distance (meters)","Pace (seconds)",Watts,Cal/Hr,"Stroke Rate","Heart Rate"
1,0.9,3.3,137.5,135,763,,
2,2.9,11.9,137.5,135,763,,
3,4.9,20.5,116.8,220,1055,28,
4,6.9,29.3,115.4,228,1083,28,
5,8.8,38.2,112.8,244,1139,28,
6,11.9,51.4,114.9,231,1094,27,
7,13.9,60.1,114.9,231,1094,27,
8,15.9,68.7,114.8,231,1096,26,
9,17.9,77.4,116.1,224,1069,26,
10,20.9,90.5,116.0,224,1071,27,
11,22.9,99.0,116.0,224,1071,27,
12,24.9,107.5,116.2,223,1067,27,
13,26.9,116.2,116.3,222,1065,27,
14,29.9,129.3,116.9,219,1054,27,
15,31.9,137.8,116.9,219,1054,27,
16,33.9,146.3,116.2,223,1067,27,
17,35.9,154.8,117.6,215,1040,27,
18,37.9,163.5,118.4,211,1025,27,
19,40.9,176.4,116.8,220,1055,27,
20,42.9,184.9,116.8,220,1055,26,
21,44.9,193.4,117.9,214,1034,27,
22,46.9,201.9,118.1,212,1031,27,
23,49.9,214.5,118.7,209,1020,26,
24,51.9,222.8,119.9,203,998,27,
25,53.9,231.2,119.5,205,1005,27,
26,55.9,239.8,119.0,208,1014,27,
27,58.9,252.7,118.1,212,1031,27,
28,60.9,261.1,116.7,220,1057,26,
29,62.9,269.7,117.4,216,1044,27,
30,64.9,278.3,117.7,215,1038,27,
31,67.9,291.1,117.6,215,1040,27,
32,69.9,299.5,117.4,216,1044,27,
33,71.9,308.0,118.1,212,1031,27,
34,73.9,316.6,117.9,214,1034,27,
35,76.9,329.5,117.3,217,1046,27,
36,78.9,337.9,117.3,217,1046,27,
37,80.9,346.4,117.4,216,1044,26,
38,82.9,355.1,117.9,214,1034,27,
39,85.9,368.0,117.0,219,1052,27,
40,87.9,376.5,116.2,223,1067,26,
41,89.9,385.2,116.9,219,1054,26,
42,92.9,398.0,118.4,211,1025,26,
43,94.9,406.2,118.4,211,1025,26,
44,96.9,414.6,119.2,207,1011,26,
45,98.9,423.1,119.0,208,1014,27,
46,101.9,435.7,120.3,201,991,27,
47,103.9,444.0,119.9,203,998,27,
48,105.9,452.5,118.5,210,1023,26,
49,108.9,465.2,120.0,203,997,26,
50,110.9,473.4,120.0,203,997,26,
51,112.9,481.8,120.6,200,986,26,
52,114.9,490.1,120.8,199,983,27,
53,117.9,502.5,121.9,193,964,26,
54,119.9,510.8,120.4,201,990,27,
55,121.9,519.3,119.5,205,1005,26,
56,124.9,532.2,118.9,208,1016,26,
57,126.9,540.5,118.9,208,1016,26,
58,128.9,548.8,119.0,208,1014,26,
59,130.9,557.2,120.2,202,993,27,
60,133.9,569.9,120.3,201,991,26,
61,135.9,578.1,120.3,201,991,26,
62,137.9,586.6,119.4,206,1007,27,
63,139.9,595.2,118.6,210,1022,26,
64,142.9,607.7,119.0,208,1014,26,
65,144.9,616.0,119.5,205,1005,27,
66,146.9,624.5,119.3,206,1009,27,
67,148.9,633.0,119.1,207,1013,27,
68,151.9,645.5,119.5,205,1005,27,
69,153.9,653.8,119.7,204,1002,27,
70,155.9,662.2,119.8,204,1000,27,
71,157.9,670.8,119.4,206,1007,27,
72,160.9,683.4,118.8,209,1018,27,
73,162.9,691.8,119.2,207,1011,27,
74,164.9,700.2,118.9,208,1016,26,
75,166.9,708.8,118.5,210,1023,27,
76,169.9,721.6,117.9,214,1034,27,
