Number,"Time (seconds)","Distance (meters)","Pace (seconds)",Watts,Cal/Hr,"Stroke Rate","Heart Rate"
1,0.9,2.9,168.0,74,554,,
2,2.2,7.3,145.1,115,694,45,
3,3.5,11.9,146.7,111,681,48,
4,4.5,15.7,146.7,111,681,48,
5,5.8,20.7,135.2,142,787,48,
6,7.1,25.7,129.9,160,849,47,
7,8.4,30.9,126.3,174,897,48,
8,9.7,36.2,125.5,177,909,49,
9,10.8,40.2,125.5,177,909,49,
10,12.1,45.6,123.8,184,934,49,
11,13.3,50.7,123.1,188,945,50,
12,14.4,54.9,123.1,188,945,50,
13,15.7,60.2,122.8,189,950,49,
14,16.9,65.5,121.9,193,964,50,
15,18.2,70.6,122.2,192,960,48,
16,19.5,76.1,122.2,192,960,49,
17,20.6,80.4,122.2,192,960,49,
18,21.8,85.6,122.9,189,948,49,
19,23.1,90.8,122.7,189,952,49,
20,24.1,94.9,122.7,189,952,49,
21,25.4,100.3,122.9,189,948,51,
22,26.5,104.5,122.9,189,948,51,
23,27.7,109.6,123.6,185,937,50,
24,29.0,114.9,125.4,177,910,49,
25,30.3,119.9,126.8,172,890,50,
26,31.4,124.0,126.8,172,890,50,
27,32.7,129.2,126.8,172,890,50,
28,34.0,134.4,126.0,175,902,47,
29,35.3,139.8,125.0,179,916,45,
30,36.6,145.0,124.5,181,924,46,
31,37.9,150.3,123.4,186,941,47,
32,39.2,155.6,124.6,181,922,48,
33,40.5,160.8,125.3,178,912,47,
34,41.5,165.0,125.3,178,912,47,
35,42.9,170.3,124.9,180,918,49,
36,44.1,175.5,124.5,181,924,49,
37,45.4,180.7,124.7,180,921,49,
38,46.7,185.8,125.3,178,912,46,
39,48.1,191.2,124.9,180,918,46,
40,49.3,196.3,124.2,183,928,48,
41,50.6,201.4,125.3,178,912,47,
42,51.9,206.4,126.1,175,900,47,
43,52.9,210.7,126.1,175,900,47,
44,54.5,216.6,128.5,165,867,44,
45,55.7,221.6,129.8,160,850,48,
46,57.0,226.6,129.3,162,857,47,
47,58.3,231.5,128.4,165,869,46,
48,59.6,236.7,127.7,168,878,47,
49,60.9,241.8,127.0,171,888,46,
50,62.2,246.9,127.1,170,886,46,
51,63.5,252.0,127.5,169,881,45,
52,64.8,257.1,126.9,171,889,47,
53,66.1,262.2,127.3,170,883,46,
54,67.4,267.4,126.8,172,890,47,
55,68.7,272.5,127.9,167,875,46,
56,70.0,277.6,128.8,164,863,46,
57,71.3,282.5,130.9,156,837,45,
58,72.6,287.5,130.9,156,837,45,
59,73.8,292.4,130.4,158,843,45,
