Number,"Time (seconds)","Distance (meters)","Pace (seconds)",Watts,Cal/Hr,"Stroke Rate","Heart Rate"
1,0.2,0.5,0.0,,,,
2,3.2,11.6,155.0,94,623,,
3,5.2,19.4,133.1,148,810,25,
4,7.2,27.4,127.8,168,877,26,
5,10.2,39.5,125.3,178,912,26,
6,12.2,47.5,123.8,184,934,25,
7,14.2,55.9,123.6,185,937,26,
8,17.2,67.9,123.3,187,942,26,
9,19.2,76.1,124.1,183,930,26,
10,21.2,84.3,122.0,193,963,27,
11,23.2,92.7,122.0,193,963,27,
12,26.2,105.2,121.0,198,979,26,
13,28.2,113.7,118.5,210,1023,25,
14,31.2,126.5,120.3,201,991,25,
15,33.2,134.5,120.3,201,991,25,
16,35.2,142.8,121.9,193,964,26,
17,37.2,151.1,122.0,193,963,26,
18,40.2,163.1,123.4,186,941,26,
19,42.2,170.9,125.2,178,913,26,
20,44.2,178.9,126.1,175,900,26,
21,47.2,190.9,126.7,172,892,26,
22,49.2,198.6,126.7,172,892,26,
23,51.2,206.5,128.6,165,866,26,
24,54.2,218.5,126.7,172,892,26,
25,56.2,226.4,126.7,172,892,26,
26,58.2,234.2,126.5,173,895,27,
27,60.2,242.0,127.5,169,881,26,
28,63.2,254.1,126.7,172,892,27,
29,65.2,261.9,126.7,172,892,27,
30,67.2,269.9,125.7,176,906,26,
31,69.2,278.1,124.5,181,924,27,
32,71.2,286.6,122.0,193,963,27,
33,74.2,298.8,121.1,197,978,27,
34,76.2,306.9,121.9,193,964,27,
35,78.2,315.2,122.3,191,958,26,
36,81.2,327.7,121.7,194,968,26,
37,83.2,335.9,120.6,200,986,26,
38,85.2,344.3,121.2,197,976,26,
39,88.2,356.4,122.9,189,948,26,
40,90.2,364.5,123.4,186,941,25,
41,92.2,372.7,123.2,187,944,26,
42,95.2,384.7,124.2,183,928,25,
43,97.2,392.9,123.3,187,942,25,
44,100.2,405.2,123.1,188,945,25,
45,102.2,413.3,123.1,188,945,25,
46,104.2,421.7,121.2,197,976,26,
47,107.2,433.9,120.9,198,981,25,
48,109.2,441.9,123.5,186,939,25,
49,111.2,450.1,124.8,180,919,25,
50,114.2,462.2,124.3,182,927,25,
51,116.2,470.1,124.4,182,925,26,
52,119.2,482.5,124.5,181,924,26,
53,121.2,490.5,124.5,181,924,26,
54,123.2,498.9,121.6,195,969,25,
55,126.2,511.4,120.3,201,991,24,
56,128.2,519.7,120.3,201,991,25,
57,131.2,532.2,120.4,201,990,24,
58,133.2,540.4,121.2,197,976,25,
59,135.2,548.8,121.0,198,979,25,
60,138.2,561.2,121.7,194,968,25,
61,140.2,569.6,120.2,202,993,25,
62,143.2,582.0,120.9,198,981,25,
63,145.2,590.2,121.1,197,978,25,
64,148.2,602.8,121.1,197,978,25,
65,150.2,610.9,121.1,197,978,25,
66,152.2,619.2,121.5,195,971,25,
67,155.2,631.6,121.5,195,971,25,
68,157.2,639.8,121.9,193,964,24,
69,160.2,652.3,121.8,194,966,25,
70,162.2,660.4,121.3,196,974,25,
71,165.2,672.9,122.9,189,948,25,
72,167.2,680.9,122.9,189,948,25,
73,169.2,689.3,122.8,189,950,25,
74,172.2,702.0,119.4,206,1007,26,
75,174.2,710.3,119.0,208,1014,24,
76,177.2,722.8,122.1,192,961,25,
77,179.2,730.8,122.1,192,961,25,
78,181.2,739.1,122.2,192,960,25,
79,184.2,751.3,123.7,185,936,26,
80,186.2,759.3,123.7,185,936,26,
81,188.2,767.7,122.1,192,961,25,
82,191.2,780.0,121.6,195,969,25,
83,193.2,788.1,122.4,191,956,25,
84,196.2,800.7,122.0,193,963,25,
85,198.2,808.8,121.1,197,978,25,
86,200.2,817.2,121.1,197,978,25,
87,203.2,829.5,121.9,193,964,25,
88,205.2,837.7,121.9,193,964,26,
89,207.2,846.1,121.6,195,969,25,
90,210.2,858.5,121.1,197,978,26,
91,212.2,866.8,120.8,199,983,25,
92,215.2,879.4,120.9,198,981,25,
93,217.2,887.4,120.9,198,981,25,
94,219.2,895.6,122.6,190,953,26,
95,222.2,908.2,121.0,198,979,26,
96,224.2,916.4,121.0,198,979,26,
97,226.2,924.9,119.3,206,1009,25,
98,229.2,937.4,121.4,196,973,26,
99,231.2,945.5,121.4,196,973,26,
100,233.2,953.9,120.3,201,991,26,
101,236.2,966.3,122.3,191,958,26,
102,238.2,974.3,122.3,191,958,26,
103,240.2,982.5,123.1,188,945,26,
104,243.2,995.2,122.0,193,963,26,
105,245.2,1003.4,119.9,203,998,25,
106,247.2,1011.9,120.1,202,995,25,
107,250.2,1024.3,120.4,201,990,25,
108,252.2,1032.5,120.5,200,988,25,
109,255.2,1045.2,119.9,203,998,25,
110,257.2,1053.5,119.9,203,998,25,
111,260.2,1066.2,120.5,200,988,25,
112,262.2,1074.4,120.5,200,988,25,
113,265.2,1087.1,120.3,201,991,24,
114,267.2,1095.3,120.3,201,991,24,
115,270.2,1107.8,121.5,195,971,24,
116,272.2,1116.0,121.5,195,971,24,
117,274.2,1124.4,120.9,198,981,25,
118,277.2,1136.7,121.0,198,979,25,
119,279.2,1144.8,121.9,193,964,25,
120,282.2,1157.3,122.9,189,948,25,
121,284.2,1165.2,122.9,189,948,25,
122,286.2,1173.5,123.4,186,941,25,
123,289.2,1185.8,123.2,187,944,25,
124,291.2,1194.0,121.9,193,964,26,
125,293.2,1202.2,121.9,193,964,25,
126,296.2,1214.1,124.4,182,925,26,
127,298.2,1222.0,125.6,177,907,26,
128,300.2,1230.3,125.4,177,910,25,
129,303.2,1242.5,123.8,184,934,26,
130,305.2,1250.5,122.8,189,950,26,
131,307.2,1258.8,122.7,189,952,26,
132,310.2,1271.1,123.0,188,947,26,
133,312.2,1279.3,122.2,192,960,26,
134,314.2,1287.6,121.6,195,969,26,
135,317.2,1299.8,122.5,190,955,25,
136,319.2,1307.9,122.5,190,955,26,
137,321.2,1316.1,123.0,188,947,26,
138,324.2,1328.5,123.1,188,945,26,
139,326.2,1336.6,121.9,193,964,25,
140,328.2,1344.8,122.6,190,953,26,
141,331.2,1357.0,123.7,185,936,26,
142,333.2,1365.2,123.2,187,944,26,
143,335.2,1373.7,120.5,200,988,25,
144,338.2,1386.1,120.0,203,997,25,
145,340.2,1394.4,120.6,200,986,25,
146,343.2,1406.7,123.0,188,947,26,
147,345.2,1414.7,123.0,188,947,26,
148,347.2,1422.8,123.7,185,936,26,
149,350.2,1435.0,124.2,183,928,26,
150,352.2,1443.0,124.2,183,928,26,
151,354.2,1451.2,123.4,186,941,26,
152,356.2,1459.5,122.2,192,960,26,
153,359.2,1471.7,123.0,188,947,26,
154,361.2,1480.1,121.5,195,971,25,
155,363.2,1488.7,119.1,207,1013,25,
156,366.2,1501.0,120.1,202,995,26,
157,368.2,1509.3,120.6,200,986,26,
158,370.2,1517.8,120.7,199,985,26,
159,373.2,1530.1,120.9,198,981,26,
160,375.2,1538.2,121.7,194,968,26,
161,377.2,1546.6,121.8,194,966,26,
162,380.2,1558.7,122.3,191,958,26,
163,382.2,1566.7,123.9,184,933,26,
164,384.2,1574.8,124.4,182,925,27,
165,386.2,1583.0,124.3,182,927,26,
166,389.2,1595.4,123.3,187,942,27,
167,391.2,1603.8,120.8,199,983,26,
168,393.2,1612.3,118.3,211,1027,26,
169,396.2,1624.9,119.4,206,1007,25,
170,398.2,1633.2,119.8,204,1000,26,
171,400.2,1641.6,119.2,207,1011,25,
172,403.2,1654.0,121.0,198,979,26,
173,405.2,1662.0,122.4,191,956,25,
174,407.2,1670.3,122.8,189,950,26,
175,410.2,1682.8,121.3,196,974,26,
176,412.2,1690.8,121.3,196,974,26,
177,414.2,1699.1,121.8,194,966,27,
178,417.2,1712.0,118.3,211,1027,26,
179,419.2,1720.2,118.3,211,1027,26,
180,421.2,1728.6,119.6,205,1004,25,
181,424.2,1741.1,122.0,193,963,26,
182,426.2,1749.2,122.0,193,963,26,
183,428.2,1757.4,122.1,192,961,26,
184,430.2,1765.7,122.3,191,958,27,
185,433.2,1778.0,122.3,191,958,26,
186,435.2,1786.1,122.3,191,958,26,
187,437.2,1794.4,122.7,189,952,26,
188,439.2,1802.7,120.6,200,986,26,
189,442.2,1814.8,123.4,186,941,26,
190,444.2,1822.9,123.7,185,936,26,
191,446.2,1831.1,123.0,188,947,27,
192,448.2,1839.6,121.6,195,969,26,
193,451.2,1852.1,120.4,201,990,26,
194,453.2,1860.1,119.8,204,1000,26,
195,455.2,1868.3,123.5,186,939,26,
196,458.2,1880.6,122.8,189,950,27,
197,460.2,1888.6,122.8,189,950,27,
198,462.2,1896.7,123.4,186,941,26,
199,464.2,1905.0,123.4,186,941,27,
200,467.2,1917.4,122.2,192,960,26,
201,469.2,1925.5,121.2,197,976,26,
202,471.2,1933.7,122.3,191,958,26,
203,474.2,1946.0,123.3,187,942,27,
204,476.2,1954.0,123.3,187,942,27,
205,478.2,1962.1,123.5,186,939,26,
206,480.2,1970.5,122.8,189,950,26,
207,483.2,1982.9,121.6,195,969,26,
208,485.2,1991.0,121.0,198,979,26,
209,487.2,1999.3,121.9,193,964,27,
210,490.2,2011.6,123.4,186,941,26,
211,492.2,2019.6,123.4,186,941,26,
212,494.2,2027.7,123.5,186,939,26,
213,496.2,2036.0,122.9,189,948,27,
214,499.2,2048.5,122.2,192,960,26,
215,501.2,2056.5,121.1,197,978,27,
216,503.2,2064.9,121.8,194,966,26,
217,506.2,2077.3,122.4,191,956,26,
218,508.2,2085.3,122.4,191,956,26,
219,510.2,2093.5,123.1,188,945,27,
220,512.2,2102.0,122.1,192,961,27,
221,515.2,2114.4,119.6,205,1004,26,
222,517.2,2122.6,121.2,197,976,26,
223,519.2,2130.9,121.4,196,973,26,
224,521.2,2139.3,120.8,199,983,26,
225,524.2,2151.6,122.1,192,961,26,
226,526.2,2159.8,121.4,196,973,26,
227,528.2,2168.1,121.8,194,966,27,
228,531.2,2180.5,123.5,186,939,26,
229,533.2,2188.6,123.5,186,939,26,
230,535.2,2196.7,122.2,192,960,27,
231,537.2,2205.0,121.7,194,968,27,
232,540.2,2217.8,119.1,207,1013,26,
233,542.2,2226.0,119.1,207,1013,26,
234,544.2,2234.4,119.8,204,1000,26,
235,547.2,2247.0,120.5,200,988,26,
236,549.2,2255.2,120.5,200,988,26,
237,551.2,2263.5,120.2,202,993,26,
238,553.2,2272.0,119.8,204,1000,26,
239,556.2,2284.6,120.0,203,997,26,
240,558.2,2292.9,120.0,203,997,27,
241,560.2,2301.2,119.6,205,1004,27,
242,563.2,2313.7,121.8,194,966,26,
243,565.2,2321.8,121.8,194,966,26,
244,567.2,2330.0,122.0,193,963,26,
245,569.2,2338.5,121.1,197,978,26,
246,572.2,2351.0,121.7,194,968,27,
247,574.2,2359.0,121.7,194,968,27,
248,576.2,2367.1,122.8,189,950,26,
249,578.2,2375.5,122.7,189,952,27,
250,581.2,2387.9,122.2,192,960,27,
251,583.2,2395.9,122.2,192,960,27,
252,585.2,2404.1,122.6,190,953,28,
253,587.2,2412.4,122.0,193,963,27,
254,590.2,2425.3,119.3,206,1009,26,
255,592.2,2433.5,119.3,206,1009,26,
256,594.2,2441.8,119.4,206,1007,26,
257,596.2,2450.3,120.6,200,986,26,
258,599.2,2463.3,116.9,219,1054,27,
259,601.2,2471.5,116.9,219,1054,27,
260,603.2,2480.1,118.2,212,1029,26,
261,606.2,2493.0,117.7,215,1038,26,
262,608.2,2501.3,117.7,215,1038,26,
263,610.2,2509.8,117.9,214,1034,26,
264,613.2,2522.8,117.7,215,1038,25,
265,615.2,2531.1,117.7,215,1038,25,
266,617.2,2539.7,118.1,212,1031,25,
267,620.2,2552.3,120.3,201,991,26,
268,622.2,2560.5,120.3,201,991,26,
269,624.2,2568.9,120.8,199,983,26,
270,627.2,2581.4,121.3,196,974,26,
271,629.2,2589.4,121.3,196,974,26,
272,631.2,2597.5,122.8,189,950,26,
273,633.2,2605.7,123.7,185,936,27,
274,636.2,2618.2,121.3,196,974,26,
275,638.2,2626.5,121.3,196,974,26,
276,640.2,2635.1,119.0,208,1014,26,
277,643.2,2647.6,119.9,203,998,26,
278,645.2,2656.0,119.9,203,998,26,
279,647.2,2664.5,118.1,212,1031,26,
280,650.2,2677.2,119.0,208,1014,26,
281,652.2,2685.4,119.0,208,1014,26,
282,654.2,2693.8,120.5,200,988,26,
283,657.2,2706.5,120.5,200,988,26,
284,659.2,2714.6,120.5,200,988,26,
285,661.2,2723.0,120.9,198,981,27,
286,663.2,2731.5,119.4,206,1007,26,
287,666.2,2744.0,120.4,201,990,26,
288,668.2,2752.1,120.5,200,988,26,
289,670.2,2760.3,122.0,193,963,27,
290,672.2,2768.7,122.5,190,955,26,
291,675.2,2781.1,120.9,198,981,27,
292,677.2,2789.4,120.7,199,985,26,
293,679.2,2797.8,120.7,199,985,26,
294,682.2,2810.4,119.8,204,1000,26,
295,684.2,2818.6,119.8,204,1000,26,
296,686.2,2826.8,121.6,195,969,26,
297,688.2,2835.4,121.0,198,979,27,
298,691.2,2847.8,119.2,207,1011,26,
299,693.2,2856.1,119.9,203,998,26,
